protein_id,sample_01,sample_02,sample_03,sample_04,sample_05,sample_06,sample_07,sample_08,sample_09,sample_10
sp|P04217|A1BG_HUMAN,1234567,1345678,1123456,1267890,1389012,1567890,1678901,1456789,1589012,1534567
sp|P01023|A2MG_HUMAN,2345678,2567890,2123456,2389012,2612345,2890123,3012345,2678901,2901234,2789012
sp|P01011|AACT_HUMAN,567890,623456,512345,589012,656789,478901,445678,501234,467890,489012
sp|P04114|APOB_HUMAN,3456789,3789012,3234567,3567890,3890123,4123456,4456789,3901234,4234567,4012345
sp|P02647|APOA1_HUMAN,890123,978901,823456,912345,1023456,756789,701234,789012,734567,767890
sp|P02652|APOA2_HUMAN,456789,512345,412345,478901,545678,389012,356789,412345,378901,398012
sp|P06727|APOA4_HUMAN,234567,267890,198765,245678,289012,312345,345678,289012,323456,301234
sp|P02656|APOC3_HUMAN,678901,745678,612345,698765,778901,567890,523456,601234,556789,578901
sp|P02749|APOH_HUMAN,1567890,1723456,1423456,1612345,1823456,1345678,1234567,1412345,1312345,1378901
sp|P00738|HPT_HUMAN,345678,389012,312345,356789,412345,289012,256789,301234,267890,287654
sp|P02790|HEMO_HUMAN,2890123,3156789,2623456,2945678,3267890,3567890,3890123,3345678,3678901,3478901
sp|P00450|CERU_HUMAN,789012,867890,723456,812345,923456,678901,623456,712345,656789,689012
sp|P02787|TRFE_HUMAN,1890123,2067890,1723456,1912345,2123456,2345678,2567890,2189012,2412345,2278901
sp|P01009|A1AT_HUMAN,4567890,5012345,4234567,4678901,5123456,5567890,5912345,5234567,5678901,5412345
sp|P02768|ALBU_HUMAN,8901234,9678901,8234567,8901234,9567890,10123456,10789012,9456789,10234567,9789012
